cryptoName,date,open,close,high,low,average,volume,trade_count,vwap,timestamp
BTC/USD,02/05/2021,37102.75,39051.0,39699.95,37070.01,38384.979999999996,1153.670297,55838.0,38439.0877929464,2021-02-05 06:00:00+00:00
BTC/USD,02/06/2021,39054.2,38571.85,41019.93,38000.0,39509.965,1238.672877,63997.0,39759.6085362744,2021-02-06 06:00:00+00:00
BTC/USD,02/07/2021,38565.36,38700.0,39736.17,37383.51,38559.84,932.225474,46244.0,38455.8146087919,2021-02-07 06:00:00+00:00
BTC/USD,02/08/2021,38712.8,46964.37,47500.0,38658.96,43079.479999999996,2876.161989,91292.0,44010.7643101578,2021-02-08 06:00:00+00:00
BTC/USD,02/09/2021,46957.6,46166.35,48203.13,45040.0,46621.565,1420.610386,59671.0,46688.8856975675,2021-02-09 06:00:00+00:00
BTC/USD,02/10/2021,46168.8,44675.1,47371.09,43750.0,45560.545,1361.970634,75486.0,45149.5100956754,2021-02-10 06:00:00+00:00
BTC/USD,02/11/2021,44697.12,47289.12,48969.45,44444.48,46706.965,1765.386034,74578.0,47523.8885871809,2021-02-11 06:00:00+00:00
BTC/USD,02/12/2021,47289.12,47960.94,48224.1,46231.52,47227.81,934.058092,47008.0,47576.8770363007,2021-02-12 06:00:00+00:00
BTC/USD,02/13/2021,47960.94,48938.82,48997.7,46285.0,47641.35,804.437966,50609.0,47401.9828129884,2021-02-13 06:00:00+00:00
BTC/USD,02/14/2021,48942.87,46773.29,49730.0,45691.42,47710.71,1209.900633,58594.0,48092.3803525264,2021-02-14 06:00:00+00:00
BTC/USD,02/15/2021,46765.0,49185.11,49975.0,46727.34,48351.17,1035.488307,50751.0,48356.0764758609,2021-02-15 06:00:00+00:00
BTC/USD,02/16/2021,49168.5,49711.98,50623.0,47800.0,49211.5,1299.085662,55997.0,49134.450058717,2021-02-16 06:00:00+00:00
BTC/USD,02/17/2021,49720.34,52200.0,52644.51,49630.0,51137.255000000005,1447.308943,62122.0,51387.1771693447,2021-02-17 06:00:00+00:00
BTC/USD,02/18/2021,52194.82,51506.26,52278.77,50732.0,51505.384999999995,1033.457996,47199.0,51582.939694832,2021-02-18 06:00:00+00:00
BTC/USD,02/19/2021,51512.1,55683.65,56615.62,51487.36,54051.490000000005,1706.062977,68586.0,54712.9769557792,2021-02-19 06:00:00+00:00
BTC/USD,02/20/2021,55691.78,56570.0,57572.0,54000.0,55786.0,1134.234493,59786.0,56300.5506790763,2021-02-20 06:00:00+00:00
BTC/USD,02/21/2021,56570.0,55865.52,58355.03,55156.52,56755.774999999994,1002.137833,53708.0,56973.7596113858,2021-02-21 06:00:00+00:00
BTC/USD,02/22/2021,55894.74,49950.09,56640.28,47303.68,51971.979999999996,2826.614714,91474.0,52444.3479411674,2021-02-22 06:00:00+00:00
BTC/USD,02/23/2021,49950.08,50217.25,51399.11,45000.0,48199.555,3008.961804,87743.0,48072.8337042073,2021-02-23 06:00:00+00:00
BTC/USD,02/24/2021,50211.36,50440.62,51402.65,48054.15,49728.4,1427.023642,49672.0,49852.2863307269,2021-02-24 06:00:00+00:00
BTC/USD,02/25/2021,50430.78,45499.29,52050.0,45297.57,48673.785,1623.067066,55787.0,48589.9018823092,2021-02-25 06:00:00+00:00
BTC/USD,02/26/2021,45499.3,47791.28,48446.11,44112.21,46279.16,1253.167996,56794.0,46659.6318673615,2021-02-26 06:00:00+00:00
BTC/USD,02/27/2021,47799.99,44803.83,48375.86,44239.59,46307.725,947.264824,43837.0,46329.7320871413,2021-02-27 06:00:00+00:00
BTC/USD,02/28/2021,44821.68,46235.25,46999.68,43020.0,45009.84,1329.783722,40946.0,44785.2471060397,2021-02-28 06:00:00+00:00
BTC/USD,03/01/2021,46235.25,48703.55,50273.12,45688.43,47980.775,1387.380036,45199.0,48610.3767690108,2021-03-01 06:00:00+00:00
BTC/USD,03/02/2021,48703.02,49132.93,49745.32,47067.99,48406.655,782.046938,30823.0,48355.0734626017,2021-03-02 06:00:00+00:00
BTC/USD,03/03/2021,49146.59,49708.29,52644.44,49001.58,50823.01,1503.190121,43767.0,50848.5697223988,2021-03-03 06:00:00+00:00
BTC/USD,03/04/2021,49699.49,47143.6,50771.99,46256.38,48514.185,1248.700148,41360.0,48209.9219492012,2021-03-04 06:00:00+00:00
BTC/USD,03/05/2021,47155.97,48450.01,49472.53,46436.91,47954.72,965.82272,30954.0,48206.513601204,2021-03-05 06:00:00+00:00
BTC/USD,03/06/2021,48481.8,49364.28,49912.09,47074.63,48493.36,636.939124,23429.0,48629.7984624976,2021-03-06 06:00:00+00:00
BTC/USD,03/07/2021,49364.28,50807.58,51831.9,49091.4,50461.65,845.934967,30972.0,50718.5548226538,2021-03-07 06:00:00+00:00
BTC/USD,03/08/2021,50800.02,54281.56,54421.44,49329.8,51875.62,1007.561091,35670.0,52008.9096685571,2021-03-08 06:00:00+00:00
BTC/USD,03/09/2021,54254.01,53657.62,55835.43,53038.45,54436.94,1145.798874,39495.0,54323.5325882784,2021-03-09 06:00:00+00:00
BTC/USD,03/10/2021,53674.83,55241.5,57418.6,53536.53,55477.565,1038.171332,43219.0,56065.6760280092,2021-03-10 06:00:00+00:00
BTC/USD,03/11/2021,55241.5,57182.06,58172.9,54275.5,56224.2,991.725718,39534.0,56922.2464984086,2021-03-11 06:00:00+00:00
BTC/USD,03/12/2021,57166.16,56764.86,57737.63,55051.0,56394.315,843.906824,32803.0,56631.3602133575,2021-03-12 06:00:00+00:00
BTC/USD,03/13/2021,56745.29,61027.96,61790.24,56497.11,59143.675,1037.456482,45248.0,60101.9297916888,2021-03-13 06:00:00+00:00
BTC/USD,03/14/2021,61000.01,59765.08,61082.89,58658.03,59870.46,759.19615,34231.0,59951.2311075709,2021-03-14 06:00:00+00:00
BTC/USD,03/15/2021,59734.18,54406.38,59930.47,53223.0,56576.735,1684.637332,64312.0,55982.4613896178,2021-03-15 05:00:00+00:00
BTC/USD,03/16/2021,54398.29,55583.84,57189.78,53550.0,55369.89,878.705334,49147.0,55660.7958796642,2021-03-16 05:00:00+00:00
BTC/USD,03/17/2021,55566.58,58814.92,59555.0,54111.95,56833.475,1082.85383,56244.0,57148.6436032525,2021-03-17 05:00:00+00:00
BTC/USD,03/18/2021,58818.6,57882.46,60099.0,56240.5,58169.75,798.5158,45154.0,58182.1497842653,2021-03-18 05:00:00+00:00
BTC/USD,03/19/2021,57882.45,58232.18,59455.07,57489.99,58472.53,592.509607,35256.0,58592.8316826119,2021-03-19 05:00:00+00:00
BTC/USD,03/20/2021,58215.62,56933.15,59944.61,56754.44,58349.525,563.571496,34280.0,58619.6138118612,2021-03-20 05:00:00+00:00
BTC/USD,03/21/2021,56900.18,57600.0,58146.89,55509.0,56827.945,598.563919,38049.0,56997.4287186087,2021-03-21 05:00:00+00:00
BTC/USD,03/22/2021,57600.0,54424.88,58427.14,53707.5,56067.32,1014.364672,50967.0,55589.5339438885,2021-03-22 05:00:00+00:00
BTC/USD,03/23/2021,54424.02,54101.73,55839.36,53000.0,54419.68,942.099039,42132.0,54538.0283464136,2021-03-23 05:00:00+00:00
BTC/USD,03/24/2021,54119.51,52253.12,57190.63,51500.27,54345.45,1324.833236,59897.0,54208.8498236584,2021-03-24 05:00:00+00:00
BTC/USD,03/25/2021,52247.21,52709.82,53231.67,50411.0,51821.335,1166.755824,51657.0,51844.2365323277,2021-03-25 05:00:00+00:00
BTC/USD,03/26/2021,52713.85,55010.74,55582.55,52413.1,53997.825,947.150454,38461.0,53881.603186394,2021-03-26 05:00:00+00:00
BTC/USD,03/27/2021,54985.38,56262.79,56610.0,53962.32,55286.16,624.446485,30004.0,55539.4585973985,2021-03-27 05:00:00+00:00
